district,facility,shape,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48
chama,chibale,1,1.34764441780069,1.54409154619411,1.73237453145784,1.88591344048957,1.98755651940995,2.04229200577819,2.05673375474967,2.02476556511187,1.93396899955906,1.79197974509565,1.6300785124676,1.4975798637113,1.42163480159379,1.39376380739642,1.37955457435812,1.35095086278959,1.28838980811527,1.17796214489029,1.02512140772145,0.85792611537515,0.709628856156106,0.605669147476374,0.550996854271027,0.528575393482616,0.520180746693603,0.517943125063951,0.521460218393671,0.531281361531873,0.549566397238417,0.576324152295843,0.611845333419929,0.65002383267288,0.678324867375978,0.685290729661667,0.664211005808888,0.614748740820759,0.54460826535044,0.467371905799524,0.395420319705527,0.345069057615474,0.332458422189764,0.36629311073792,0.442970248758353,0.553110968938613,0.685191587929875,0.830827598565879,0.989465330126157,1.16085999785331
chama,chifunda,2,1.08562854792331,1.33734829074253,1.55070775119706,1.67410738989331,1.70273253858161,1.66384844120335,1.5970571252627,1.53735894684472,1.50244427598048,1.48663575928691,1.48419622512708,1.50530667231829,1.54784703539367,1.60092205971751,1.64785671904388,1.67604367843453,1.68439983933126,1.67763755385064,1.64866908099618,1.57975162550569,1.46231603396871,1.30990654235437,1.15115401580683,1.00454242358187,0.880641428732269,0.776348091479337,0.694938506042138,0.641201762385776,0.611506143961025,0.593777239050186,0.568183251995139,0.52899475721888,0.480767898360357,0.430192773837314,0.383929470460363,0.344299715103868,0.311859815781211,0.28789276135463,0.273755295395722,0.270045442358983,0.278154278429797,0.30030577262098,0.338210020165973,0.3898230187951,0.451437310384755,0.5348345453639,0.662301102516486,0.848181025859328
chama,chikwa,3,1.4151436695093,1.54475252503552,1.63801323188334,1.69745912750494,1.72353756218348,1.72937600896797,1.73148123198678,1.73942944499774,1.74271872347374,1.72400057057926,1.67598981077198,1.59757395563351,1.49146516651919,1.37340099665157,1.26321673363331,1.17381357955449,1.11465810956235,1.0889563959604,1.08421496242014,1.08002064967476,1.06120381826259,1.01937118691689,0.952560533324539,0.866437189950214,0.776901802224022,0.698494602121647,0.640011824300079,0.603853173754647,0.592526773484293,0.604724471880161,0.632809992386694,0.664858457374036,0.683417150844972,0.672082770689308,0.625597476834047,0.550637378245587,0.461605306956261,0.375999745703293,0.310218093886554,0.276395474650525,0.278560724300231,0.316966407277236,0.389294619717819,0.501925182900455,0.659589472177264,0.851222181430472,1.0551221242757,1.24838960762671
chavuma,chingi,4,0.83206580637266,1.16538259436778,1.53331989500883,1.86729919473209,2.12326782362655,2.28617078807668,2.35197373820161,2.32496046053691,2.23481345251202,2.12623404159878,2.02030952181421,1.8910560143281,1.69960788677487,1.43850596946334,1.1605291409143,0.927175297050861,0.772357974504036,0.69441130415361,0.668342064157004,0.66711813222008,0.671685141306114,0.675693883244781,0.679771358290836,0.685844708012463,0.695641294679184,0.709888358075193,0.727528337700955,0.745837553045783,0.761628431828464,0.772730649948169,0.778561189831245,0.777359364691328,0.765447240357466,0.738925165925735,0.696646019323872,0.640816966036605,0.578706473593888,0.520638122934847,0.474383563299537,0.444144091145275,0.429058363475392,0.425244505783351,0.427578510438026,0.432504610493672,0.439061690440539,0.446991695582485,0.478427798229562,0.594353811870907
mwinilunga,chiwoma,5,0.989473267670542,0.886603303544854,0.792757005335276,0.725681197644863,0.691883940488181,0.706467753299778,0.792909805048396,0.956476474571686,1.16267860545318,1.35800882286006,1.50203323944615,1.57761749553423,1.60553182990681,1.62193330832759,1.65036988898057,1.6822062494773,1.68765944301397,1.63533799908024,1.51869904404474,1.36755840622859,1.22906128895186,1.13670250374426,1.09395325738807,1.07737941165041,1.05601852434853,1.01505834757755,0.957367356815758,0.891595196973826,0.825652591774677,0.762975638437751,0.702407176834077,0.646156268615596,0.60356774797518,0.580200855924979,0.573995651068013,0.576184676000474,0.576936194531462,0.568572236511947,0.548867249627439,0.533114381547477,0.55048084194423,0.622253132104106,0.743627013238892,0.889255615030725,1.02197840776522,1.10622514054956,1.12181030970924,1.0767159034017
nakonde,chozi,6,0.685210627154626,0.740037911246218,0.819413148431356,0.914891203185147,1.01378362727106,1.10052949285812,1.16110202186935,1.19370993400351,1.20470121863847,1.2092875352441,1.22356740958529,1.25214732120837,1.28443713654288,1.29903507695104,1.2853491591243,1.24796204395042,1.20520386355604,1.1768598638477,1.16649275219524,1.16493107140468,1.15656419528138,1.12715650332376,1.07224394780028,1.00274050161536,0.940278588654549,0.902525569930448,0.898251468022169,0.929993675993572,0.992845817851432,1.07008169045681,1.13967723694432,1.18015820467908,1.178576399281,1.12941794193062,1.05018032087986,0.959822717586829,0.871549509478024,0.800027585092188,0.75834558835647,0.745549400828601,0.747047128530763,0.754903287278305,0.75947654388791,0.749086125978049,0.72174775912773,0.689016570014977,0.66414161009977,0.659941692827819
mwinilunga,kakoma,7,1.8284331368858,1.69635200955364,1.53637956789275,1.3794855097248,1.25368226636402,1.17658786673567,1.15503712752145,1.17328699613579,1.21002146585757,1.24364411578068,1.26312168130782,1.27062110173029,1.26763237838492,1.24717945157181,1.19612611988149,1.10622175447837,0.990128809681873,0.873790056613868,0.784102324881076,0.731405453242523,0.703818399073776,0.68441643655348,0.664135271368016,0.649689303143559,0.651140689429541,0.671027046555938,0.699270979681998,0.719332997162579,0.720560987517094,0.703270164464073,0.672090766144089,0.633835030369545,0.594178569740609,0.554823387314709,0.51813724456072,0.487011921572124,0.468390675613821,0.471657307250782,0.506954358144727,0.583272869464053,0.714265403288271,0.898470095987138,1.12268542315531,1.36767159702852,1.59769596374337,1.7793133923684,1.88161183719671,1.89803268788085
mungwi,kapolyo,8,0.936144003382669,0.978693202394094,1.00142636780044,1.01548672335113,1.0419705474544,1.09844981607853,1.18678377978015,1.29646850148854,1.4032113193042,1.47866180821277,1.50824669379696,1.48573590754777,1.41787244309749,1.32232054157174,1.22028617146732,1.12298631259635,1.04146014802743,0.981730987778346,0.941802994961666,0.912927353730253,0.884977809239174,0.852363927896361,0.814639058552532,0.775554611965817,0.73930790196504,0.707931090911805,0.684277148776626,0.673502040356835,0.681734987485172,0.712868526314518,0.7634222253159,0.823504468738406,0.880153808542828,0.921799126011766,0.941776968215593,0.945662382205984,0.948285280535812,0.965081985502775,1.00353415219978,1.05362517971239,1.09480255272283,1.10321135991917,1.07009823008053,1.00386457266279,0.930364539077621,0.87746732369207,0.863932935643527,0.889590181934109
chama,lundu,9,0.812528468770632,1.13087901128197,1.4978948577338,1.85442460628974,2.14543609266701,2.34526504295529,2.45010103241258,2.48460264294574,2.4842821259453,2.48223235133237,2.47158534984749,2.42140207337776,2.30314372952865,2.10273175257705,1.82144261343,1.48247144912659,1.14149182342201,0.851347908745989,0.64615232357905,0.53497493746306,0.496255543790078,0.490324626380491,0.490172514712815,0.495327572855392,0.516230342885539,0.561666937171766,0.62653248098377,0.696179824063687,0.749624114516042,0.764667935373769,0.729735785877123,0.651072374844515,0.548123231305593,0.44343552492802,0.357369931426789,0.295411620045539,0.253752652053156,0.225986758475524,0.211796663286346,0.212181965431097,0.225673372513276,0.248121748924875,0.274181787853828,0.299813781013029,0.322730803129556,0.353354310860458,0.424292336931733,0.57159326493412
chama,mapamba,10,0.678572173409769,0.850837980866193,1.04078500297445,1.23331798111735,1.42069146758393,1.59315874709539,1.72599522638849,1.80686633731501,1.83055530288479,1.82524569838777,1.84693674512931,1.92804288947867,2.05906569658954,2.17595606469442,2.21477700787429,2.12615236279516,1.88316432063037,1.52614057668222,1.12631154687616,0.781657382557008,0.560613194605921,0.488311298064321,0.53982496760982,0.657211873127637,0.805938085726856,0.963472390971895,1.10199949776581,1.19265551114163,1.21515574826776,1.16996948717299,1.06745247027157,0.928836377351026,0.780131150779478,0.637495214282847,0.509912965755689,0.401173809559926,0.319118023286036,0.260234623272155,0.218590882172227,0.193440403903214,0.183141042563485,0.184696312484434,0.197375282304167,0.222316145289825,0.26147074955622,0.322934334142931,0.412113343998717,0.530184303241106
milenge,mulumbi,11,1.28272625309583,1.32262397239368,1.33807038772075,1.32835884548029,1.29610458315665,1.25494357391586,1.21795550748088,1.19088737928171,1.17652331500985,1.17158195760469,1.17016000164164,1.16728623319035,1.1657354764284,1.17154202794403,1.1854541943025,1.20033256813107,1.20730621889449,1.20201609044489,1.18791696049863,1.17414361060938,1.16706946809242,1.16548801658901,1.16307116821048,1.1531741119329,1.12359326823909,1.06481328797869,0.979228484934872,0.880762577892013,0.787766451077339,0.715758340865836,0.669682021067581,0.64527583994084,0.635519513599821,0.634495253668347,0.635285063068469,0.631388724417176,0.619838041265246,0.602364272194838,0.584451867286784,0.578280935626488,0.59812249853999,0.65000004767506,0.730158424832673,0.83095602170645,0.93986852049321,1.04409214687487,1.13821346703222,1.21961300767171
nakonde,nakonde,12,1.12529070900383,1.14121428302472,1.17070351694436,1.21225495223303,1.26692895878107,1.32922047923853,1.37290297988452,1.37701989045734,1.32391955654421,1.20498270541374,1.02838955366755,0.823466520391741,0.62926027842099,0.482517917028605,0.40834350807725,0.407216116245702,0.460213671640576,0.538866652650747,0.619329136062699,0.690064653272865,0.748850257438656,0.793129103392753,0.823612276809375,0.849122471474253,0.879212495722779,0.924360877545078,0.991533782075325,1.07056105902996,1.13410491858748,1.15674429592186,1.13087634676217,1.06731094321927,1.00121876633468,0.963946485230989,0.966570510757852,0.994239787620697,1.02740055095389,1.06190918317756,1.09230086421483,1.12867165702787,1.16580955264066,1.20197997196356,1.23184339950212,1.24329484770648,1.23558713557285,1.20379730819585,1.16556344320728,1.13434166892982
mungwi,ngoli,13,0.723200879908811,0.85608314864716,1.03065964888302,1.21426885859755,1.36553293806938,1.45820450022705,1.49326481965616,1.49943149612595,1.49963599018524,1.50404595904119,1.52248544028507,1.55699613141988,1.59705108953067,1.60922850565394,1.5618458515987,1.45318595676928,1.31690494145602,1.19862943367692,1.12532468039604,1.09803194696875,1.09339889023703,1.09325766269547,1.08894033962009,1.07567428733231,1.0661641541121,1.06721425066002,1.07844076725586,1.08857121270176,1.07797863572082,1.02469546447325,0.925830731136953,0.806509607504437,0.691914012616172,0.602423081885369,0.546933604031787,0.520811989562202,0.508413825285319,0.50382255395012,0.50518175814187,0.510440819035629,0.51745458540924,0.524371921402028,0.5301537251037,0.5349868735883,0.542479339052205,0.559822004960903,0.590792905971778,0.639308779456478
nakonde,ntatumbila,14,0.931273789220798,0.932611676817223,0.969565930882609,1.03495857063897,1.10498888946656,1.15856383381394,1.18574620024572,1.19376320075197,1.20358374834873,1.22286590626236,1.2404928098421,1.24124545835226,1.21817152545216,1.1752898384009,1.1282491567742,1.09351367143053,1.07539513990022,1.06730562102937,1.06278807428594,1.05177329957532,1.02763740204456,0.999413551047857,0.980542419215004,0.974396926672742,0.975206950581796,0.971103337750445,0.962081450023553,0.962943524028207,0.984668552878889,1.01664000638802,1.03887486660907,1.04042288313636,1.01782408309468,0.980506090101831,0.937756322741384,0.895171299343028,0.855033151050342,0.817819285872253,0.779412195482756,0.738758608638833,0.711077681158018,0.713120212350051,0.753736319670838,0.822807801777166,0.894817086123322,0.944605916436632,0.960997631772192,0.950478102518298
nakonde,shem,15,0.403796695177895,0.403796695177895,0.403796695177895,0.407151296190433,0.43999392743013,0.54251665479974,0.742745256405418,1.0400086346411,1.40204531647907,1.76940342727116,2.07902352696096,2.28414091491927,2.36615763719778,2.32633236607174,2.19342126779533,2.0068912291971,1.80086156071209,1.59637430766517,1.41559759744891,1.27498149037868,1.17817672773234,1.1205892919649,1.08715233688296,1.06371981041137,1.04408542542935,1.0285273222616,1.01691504236979,1.00774823173425,0.999261268737555,0.990666283681283,0.980864893598403,0.964713628927939,0.933979007647226,0.881549288248623,0.806635407352255,0.714194374586937,0.617564009027117,0.532025182526465,0.467520920952284,0.428123644960023,0.409749957846602,0.404417634386238,0.403800335747249,0.403796695177895,0.403796695177895,0.403796695177895,0.403796695177895,0.403796695177895
chama,sitwe,16,1.87283122449663,2.03425253935787,2.12327821444833,2.09687121884778,1.95680005048154,1.7349541775111,1.4919999074497,1.29223621649387,1.18434003967647,1.15546325535884,1.15876373256184,1.16847700054919,1.1692806078746,1.14553962207299,1.09842052081768,1.03738393348969,0.981456614614957,0.940776878905254,0.900049338113698,0.833190491981289,0.728623170344048,0.609089648939528,0.509678887582472,0.450865742290434,0.430099325523887,0.428347536445071,0.429124747573993,0.430554826153406,0.447946534034985,0.50027901208787,0.596348156189481,0.722687888925776,0.850570768530016,0.942842804675586,0.967438202829135,0.92299220729879,0.828351107735326,0.712976979364338,0.607275447016919,0.535974045167382,0.515352942104836,0.557191695228973,0.667863027535787,0.836708271764199,1.03276088728136,1.23802541932677,1.45242101285491,1.67124412009137
chama,tembwe,17,1.03940769709727,1.38890248194566,1.7372108648162,2.03892378833397,2.26887446838524,2.40767070554559,2.41951493561471,2.29692111038314,2.04912024941878,1.73267352395726,1.39033532848655,1.05649098888924,0.76369093089879,0.559092129424207,0.485886647481193,0.548939060702168,0.733047664409971,0.978998564803986,1.2010154707643,1.34469299187961,1.39993538358242,1.37935358785444,1.31923171622362,1.26617821130528,1.23263412656883,1.19472050302851,1.12879798062547,1.01951923886207,0.86386644155732,0.690033646131103,0.545644486799854,0.4647257217248,0.45085534612881,0.478825103671788,0.515555624060209,0.534252457254077,0.525573837867947,0.493141084444095,0.446125107296635,0.396454828823637,0.35317019989393,0.321239860902075,0.302714201624881,0.299451628144132,0.31744955677745,0.377502948644057,0.509501414231687,0.732136152733053
