district,facility,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,has_full_accessibility
kasama dho,chanda mukulu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,chilongoshi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,chilubula,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,chiombo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,chisanga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,college,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,kasakula,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,kasama urban,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,kateshi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,location,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,lubushi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,lukashi,0.75,0.75,0.75,0.75,1,1,1,1,1,1,1,0.75,FALSE
kasama dho,lukashya,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,lukupa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mbusa,0.25,0.25,0.5,0.5,0.75,0.75,1,1,1,1,0.75,0.25,FALSE
kasama dho,milima,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,misamfu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,misengo,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mulanshi,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mulenga,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mulobola,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mumbi mfumu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mumbi mukulu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,munkonge,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,musa,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mwamba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,mwasha,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,nkolemfumu,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,tazara,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
kasama dho,zns chishimba,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,chibende,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,kabange,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,kapalala,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
milenge dho,lungo mukuta,1,1,1,1,1,1,1,1,1,1,1,1,TRUE
