district,configuration,facility,facility_has_full_accessibility,start_date,end_date,lead_time_days
chama dho,xdock,mphyanakunda,FALSE,2009-08-13,2009-09-21,39
chama dho,xdock,mphyanakunda,FALSE,2009-09-10,2009-09-21,11
chama dho,xdock,mphyanakunda,FALSE,2009-10-15,2009-11-19,35
chama dho,xdock,mphyanakunda,FALSE,2009-11-12,2009-11-19,7
chama dho,xdock,mphyanakunda,FALSE,2009-12-10,2010-04-21,132
chama dho,xdock,mphyanakunda,FALSE,2010-01-13,2010-04-21,98
chama dho,xdock,mphyanakunda,FALSE,2010-02-10,2010-04-21,70
chama dho,xdock,mphyanakunda,FALSE,2010-03-11,2010-04-21,41
chama dho,xdock,mphyanakunda,FALSE,2010-04-15,2010-04-21,6
chama dho,xdock,nthonkho,FALSE,2009-07-16,2009-07-27,11
chama dho,xdock,nthonkho,FALSE,2009-08-13,2009-08-14,1
chama dho,xdock,nthonkho,FALSE,2009-09-10,2009-09-21,11
chama dho,xdock,nthonkho,FALSE,2009-10-15,2009-12-11,57
chama dho,xdock,nthonkho,FALSE,2009-11-12,2009-12-11,29
chama dho,xdock,nthonkho,FALSE,2009-12-10,2009-12-11,1
chama dho,xdock,nthonkho,FALSE,2010-01-13,2010-04-29,106
chama dho,xdock,nthonkho,FALSE,2010-02-10,2010-04-29,78
chama dho,xdock,nthonkho,FALSE,2010-03-11,2010-04-29,49
chama dho,xdock,nthonkho,FALSE,2010-04-15,2010-04-29,14
chama dho,xdock,sitwe,FALSE,2009-07-16,2009-07-27,11
chama dho,xdock,sitwe,FALSE,2009-08-13,2009-08-28,15
chama dho,xdock,sitwe,FALSE,2009-09-10,2009-09-21,11
chama dho,xdock,sitwe,FALSE,2009-10-15,2009-10-19,4
chama dho,xdock,sitwe,FALSE,2009-11-12,2010-04-29,168
chama dho,xdock,sitwe,FALSE,2009-12-10,2010-04-29,140
chama dho,xdock,sitwe,FALSE,2010-01-13,2010-04-29,106
chama dho,xdock,sitwe,FALSE,2010-02-10,2010-04-29,78
chama dho,xdock,sitwe,FALSE,2010-03-11,2010-04-29,49
chama dho,xdock,sitwe,FALSE,2010-04-15,2010-04-29,14
chama dho,xdock,tembwe,FALSE,2009-07-16,2009-07-28,12
chama dho,xdock,tembwe,FALSE,2009-08-13,2009-08-19,6
chama dho,xdock,tembwe,FALSE,2009-09-10,2009-09-15,5
chama dho,xdock,tembwe,FALSE,2009-10-15,2009-10-17,2
chama dho,xdock,tembwe,FALSE,2009-11-12,2009-12-12,30
chama dho,xdock,tembwe,FALSE,2009-12-10,2009-12-12,2
chama dho,xdock,tembwe,FALSE,2010-01-13,2010-04-19,96
chama dho,xdock,tembwe,FALSE,2010-02-10,2010-04-19,68
chama dho,xdock,tembwe,FALSE,2010-03-11,2010-04-19,39
chama dho,xdock,tembwe,FALSE,2010-04-15,2010-04-19,4
chama dho,xdock,kanyelele,TRUE,2009-07-16,2009-09-14,60
chama dho,xdock,kanyelele,TRUE,2009-08-13,2009-09-14,32
chama dho,xdock,kanyelele,TRUE,2009-09-10,2009-09-14,4
chama dho,xdock,kanyelele,TRUE,2009-10-15,2009-11-09,25
chama dho,xdock,kanyelele,TRUE,2009-11-12,2009-11-20,8
