district,facility,date
chavuma dho,chivombo,2009-08-28
chavuma dho,chivombo,2009-09-17
chavuma dho,chiyeke,2009-09-18
chavuma dho,chingi,2009-09-18
chavuma dho,chingi,2009-09-21
chavuma dho,nyatanda,2009-09-22
chavuma dho,nguvu,2009-09-23
chavuma dho,lukolwe mission,2009-09-25
chavuma dho,chiyeke,2009-10-15
chavuma dho,chivombo,2009-10-19
chavuma dho,chingi,2009-10-19
chavuma dho,lukolwe mission,2009-10-22
chavuma dho,nyatanda,2009-10-27
chavuma dho,nguvu,2009-10-28
chavuma dho,nyatanda,2009-10-28
chavuma dho,lukolwe mission,2009-11-13
chavuma dho,chiyeke,2009-11-13
chavuma dho,chiyeke,2009-11-18
chavuma dho,chiyeke,2009-11-19
chavuma dho,chingi,2009-11-19
chavuma dho,chivombo,2009-11-20
chavuma dho,nyatanda,2009-11-25
chavuma dho,nguvu,2009-11-26
chavuma dho,chiyeke,2009-12-25
chavuma dho,chivombo,2009-12-28
chavuma dho,chingi,2009-12-28
chavuma dho,nguvu,2009-12-29
chavuma dho,nyatanda,2009-12-29
chavuma dho,lukolwe mission,2009-12-31
chavuma dho,nyatanda,2009-12-31
chavuma dho,lukolwe mission,2010-01-14
chavuma dho,chiyeke,2010-01-22
chavuma dho,chingi,2010-01-22
chavuma dho,chivombo,2010-01-22
chavuma dho,nyatanda,2010-01-27
chavuma dho,chiyeke,2010-02-13
chavuma dho,chingi,2010-02-17
chavuma dho,chivombo,2010-02-17
chavuma dho,chiyeke,2010-03-12
chavuma dho,chingi,2010-03-12
chavuma dho,lukolwe mission,2010-03-22
chavuma dho,chingi,2010-03-24
chavuma dho,chiyeke,2010-04-18
chavuma dho,chingi,2010-04-21
chavuma dho,chivombo,2010-04-26
chavuma dho,chingi,2010-04-26
chavuma dho,chiyeke,2010-04-30
kabompo dho,chifuwe south,2009-06-26
kabompo dho,kabompo,2009-07-03
kabompo dho,kasamba,2009-07-03
kabompo dho,saint kalemba,2009-07-03
kabompo dho,kabulamema,2009-07-04
kabompo dho,mumbeji,2009-07-04
kabompo dho,nkulwashi,2009-07-04
kabompo dho,chikonkwelo,2009-07-12
kabompo dho,dyambombola,2009-07-12
kabompo dho,kalunga,2009-07-16
kabompo dho,kashinakaji,2009-07-19
kabompo dho,kayombo,2009-07-19
kabompo dho,luansongwa,2009-07-19
kabompo dho,mayawu,2009-07-19
kabompo dho,kabompo,2009-08-02
kabompo dho,chikonkwelo,2009-08-03
kabompo dho,mumbeji,2009-08-03
kabompo dho,saint kalemba,2009-08-03
kabompo dho,ndungo,2009-08-05
kabompo dho,kabulamema,2009-08-06
kabompo dho,kasamba,2009-08-06
kabompo dho,loloma,2009-08-06
kabompo dho,nkulwashi,2009-08-06
kabompo dho,chifuwe south,2009-08-08
kabompo dho,dyambombola,2009-08-08
kabompo dho,kalunga,2009-08-08
kabompo dho,kashinakaji,2009-08-08
kabompo dho,kayombo,2009-08-08
kabompo dho,luansongwa,2009-08-08
kabompo dho,mayawu,2009-08-08
kabompo dho,mayawu,2009-09-08
kabompo dho,kalunga,2009-09-21
kabompo dho,kabompo,2009-09-22
kabompo dho,loloma,2009-09-22
kabompo dho,dyambombola,2009-09-23
kabompo dho,kashinakaji,2009-09-23
kabompo dho,luansongwa,2009-09-23
kabompo dho,chifuwe south,2009-09-25
kabompo dho,kasamba,2009-09-25
kabompo dho,saint kalemba,2009-09-25
kabompo dho,kabulamema,2009-09-28
kabompo dho,mumbeji,2009-09-28
kabompo dho,ndungo,2009-09-28
kabompo dho,nkulwashi,2009-09-28
kabompo dho,chikonkwelo,2009-09-29
kabompo dho,kayombo,2009-09-29
kabompo dho,dyambombola,2009-10-22
kabompo dho,kashinakaji,2009-10-22
kabompo dho,luansongwa,2009-10-22
kabompo dho,mayawu,2009-10-22
kabompo dho,kabulamema,2009-10-23
kabompo dho,mumbeji,2009-10-23
kabompo dho,nkulwashi,2009-10-23
kabompo dho,chifuwe south,2009-10-27
kabompo dho,ndungo,2009-10-27
kabompo dho,chikonkwelo,2009-10-28
kabompo dho,kalunga,2009-10-28
kabompo dho,kasamba,2009-10-28
kabompo dho,kayombo,2009-10-28
kabompo dho,loloma,2009-10-28
kabompo dho,saint kalemba,2009-10-28
kabompo dho,kabompo,2009-11-27
kabompo dho,kabulamema,2009-11-27
kabompo dho,loloma,2009-11-27
kabompo dho,mumbeji,2009-11-27
kabompo dho,nkulwashi,2009-11-27
kabompo dho,chikonkwelo,2009-11-28
kabompo dho,dyambombola,2009-11-28
kabompo dho,kalunga,2009-11-28
kabompo dho,kashinakaji,2009-11-28
kabompo dho,kayombo,2009-11-28
kabompo dho,luansongwa,2009-11-28
kabompo dho,mayawu,2009-11-28
kabompo dho,chifuwe south,2009-11-29
kabompo dho,kasamba,2009-11-29
kabompo dho,ndungo,2009-11-29
kabompo dho,saint kalemba,2009-11-29
kabompo dho,kabompo,2009-12-22
kabompo dho,loloma,2009-12-22
kabompo dho,kabulamema,2009-12-24
kabompo dho,mumbeji,2009-12-24
kabompo dho,nkulwashi,2009-12-24
kabompo dho,chifuwe south,2009-12-28
kabompo dho,ndungo,2009-12-28
kabompo dho,kasamba,2009-12-29
kabompo dho,saint kalemba,2009-12-29
kabompo dho,chikonkwelo,2009-12-30
kabompo dho,kalunga,2009-12-30
kabompo dho,kayombo,2009-12-30
kabompo dho,dyambombola,2009-12-31
kabompo dho,kashinakaji,2009-12-31
kabompo dho,luansongwa,2009-12-31
kabompo dho,mayawu,2009-12-31
kabompo dho,dyambombola,2010-01-04
kabompo dho,chifuwe south,2010-01-06
kabompo dho,ndungo,2010-01-06
kabompo dho,saint kalemba,2010-01-06
kabompo dho,kabompo,2010-01-22
kabompo dho,loloma,2010-01-22
kabompo dho,kabulamema,2010-01-25
kabompo dho,kashinakaji,2010-01-25
kabompo dho,mumbeji,2010-01-25
kabompo dho,nkulwashi,2010-01-25
kabompo dho,luansongwa,2010-01-26
kabompo dho,mayawu,2010-01-26
kabompo dho,chikonkwelo,2010-01-27
kabompo dho,kayombo,2010-01-27
kabompo dho,kasamba,2010-01-28
kabompo dho,kalunga,2010-01-29
kabompo dho,kabompo,2010-02-22
kabompo dho,mumbeji,2010-02-26
kabompo dho,nkulwashi,2010-02-26
kabompo dho,kabulamema,2010-02-26
kabompo dho,loloma,2010-03-22
kabompo dho,kabulamema,2010-03-23
kabompo dho,mumbeji,2010-03-23
kabompo dho,nkulwashi,2010-03-23
kabompo dho,kashinakaji,2010-03-25
kabompo dho,luansongwa,2010-03-25
kabompo dho,mayawu,2010-03-25
kabompo dho,chifuwe south,2010-03-27
kabompo dho,kasamba,2010-03-27
kabompo dho,ndungo,2010-03-27
kabompo dho,saint kalemba,2010-03-27
kabompo dho,chikonkwelo,2010-03-28
kabompo dho,dyambombola,2010-03-28
kabompo dho,kayombo,2010-03-28
kabompo dho,kabompo,2010-03-29
kabompo dho,kabompo,2010-04-19
kabompo dho,kabulamema,2010-04-21
kabompo dho,mumbeji,2010-04-21
kabompo dho,nkulwashi,2010-04-21
kabompo dho,chifuwe south,2010-04-22
kabompo dho,kasamba,2010-04-22
kabompo dho,ndungo,2010-04-22
kabompo dho,saint kalemba,2010-04-22
kabompo dho,kashinakaji,2010-04-23
kabompo dho,luansongwa,2010-04-23
kabompo dho,loloma,2010-04-23
kabompo dho,mayawu,2010-04-23
kabompo dho,chikonkwelo,2010-04-24
kabompo dho,dyambombola,2010-04-24
kabompo dho,kalunga,2010-04-24
kabompo dho,kayombo,2010-04-24
kaoma dho,luena camp,2009-08-04
kaoma dho,nkenga,2009-08-04
kaoma dho,kahare,2009-08-04
kaoma dho,njonjolo,2009-08-04
kaoma dho,namilangi,2009-08-04
kaoma dho,kabilamwandi,2009-08-14
kaoma dho,winda,2009-08-14
kaoma dho,nakayembe,2009-08-17
kaoma dho,afumba,2009-08-17
kaoma dho,mayukwayukwa 1,2009-08-17
kaoma dho,kaoma district hospital,2009-08-21
kaoma dho,luampa,2009-08-24
kaoma dho,mangango,2009-08-27
kaoma dho,kaoma urban,2009-08-28
kaoma dho,mulamba,2009-08-28
kaoma dho,luampa,2009-08-28
kaoma dho,longe,2009-09-02
kaoma dho,nkeyema,2009-09-02
kaoma dho,mulamba,2009-09-02
kaoma dho,nkeyema,2009-09-03
kaoma dho,luena camp,2009-09-04
kaoma dho,kaaba,2009-09-04
kaoma dho,luampa,2009-09-04
kaoma dho,njonjolo,2009-09-04
kaoma dho,namilangi,2009-09-04
kaoma dho,mulwa,2009-09-07
kaoma dho,kasimba,2009-09-07
kaoma dho,katunda,2009-09-08
kaoma dho,nyambi 1,2009-09-08
kaoma dho,nyambi 2,2009-09-08
kaoma dho,afumba,2009-09-08
kaoma dho,kaoma urban,2009-09-08
kaoma dho,nkenga,2009-09-08
kaoma dho,mayukwayukwa 1,2009-09-10
kaoma dho,lui,2009-09-10
kaoma dho,zns mangango,2009-09-10
kaoma dho,kaoma district hospital,2009-09-14
kaoma dho,mangango,2009-09-14
kaoma dho,kabilamwandi,2009-09-15
kaoma dho,kahare,2009-09-15
kaoma dho,namilangi,2009-09-15
kaoma dho,winda,2009-09-15
kaoma dho,katunda,2009-09-16
kaoma dho,kaoma urban,2009-09-18
kaoma dho,nkeyema,2009-09-18
kaoma dho,kaoma district hospital,2009-09-23
kaoma dho,namilangi,2009-09-23
kaoma dho,kaoma district hospital,2009-09-23
kaoma dho,lui,2009-09-24
kaoma dho,nkeyema,2009-09-24
kaoma dho,mangango,2009-09-25
kaoma dho,chitwa,2009-09-28
kaoma dho,kaaba,2009-09-29
