district,facility,date
chavuma dho,chivombo,2009-06-10
chavuma dho,chingi,2009-06-10
chavuma dho,lukolwe mission,9-06-19
chavuma dho,nyatanda,2009-06-11
chavuma dho,chiyeke,2009-07-01
chavuma dho,lukolwe mission,2009-07-01
chavuma dho,chivombo,2009-07-03
chavuma dho,chingi,2009-07-04
chavuma dho,nyatanda,2009-07-09
chavuma dho,chingi,2009-08-05
chavuma dho,lukolwe mission,2009-08-06
chavuma dho,chiyeke,2009-08-06
chavuma dho,chivombo,2009-08-07
chavuma dho,nyatanda,9-08-27
chavuma dho,chiyeke,2009-09-02
chavuma dho,chivombo,2009-09-02
chavuma dho,chingi,2009-09-02
chavuma dho,lukolwe mission,2009-09-04
chavuma dho,nyatanda,2009-09-05
chavuma dho,chiyeke,2009-10-05
chavuma dho,chivombo,2009-10-05
chavuma dho,chingi,2009-10-05
chavuma dho,lukolwe mission,2009-10-05
chavuma dho,nyatanda,2009-10-06
chavuma dho,chiyeke,2009-11-03
chavuma dho,chingi,2009-11-04
chavuma dho,chivombo,2009-11-04
chavuma dho,lukolwe mission,2009-11-03
chavuma dho,nyatanda,9-10-31
chavuma dho,nyatanda,9-11-30
chavuma dho,chiyeke,2009-12-04
chavuma dho,chingi,2009-12-04
chavuma dho,lukolwe mission,2009-12-04
chavuma dho,chivombo,2009-12-07
chavuma dho,nyatanda,9-12-31
chavuma dho,chiyeke,2010-01-05
chavuma dho,chingi,2010-01-04
chavuma dho,chivombo,2010-01-04
chavuma dho,lukolwe mission,2010-01-05
chavuma dho,chiyeke,2010-02-04
chavuma dho,chivombo,2010-02-03
chavuma dho,chingi,2010-02-04
chavuma dho,lukolwe mission,2010-02-03
chavuma dho,chiyeke,2010-03-05
chavuma dho,chivombo,2010-03-05
chavuma dho,chingi,2010-03-03
chavuma dho,lukolwe mission,2010-03-05
chavuma dho,nyatanda,10-02-28
chavuma dho,nyatanda,10-03-31
chavuma dho,chivombo,2010-04-02
chavuma dho,chingi,2010-04-04
chavuma dho,chiyeke,2010-04-05
chavuma dho,lukolwe mission,2010-04-05
kabompo dho,chikonkwelo,2009-06-05
kabompo dho,dyambombola,2009-06-05
kabompo dho,kabompo,2009-06-05
kabompo dho,kabulamema,2009-06-04
kabompo dho,kalunga,2009-06-05
kabompo dho,kasamba,2009-06-03
kabompo dho,kashinakaji,2009-06-05
kabompo dho,kayombo,2009-06-04
kabompo dho,luansongwa,2009-06-04
kabompo dho,loloma,2009-06-11
kabompo dho,mayawu,2009-06-05
kabompo dho,mumbeji,2009-06-05
kabompo dho,ndungo,2009-06-01
kabompo dho,nkulwashi,2009-06-04
kabompo dho,saint kalemba,2009-06-04
kabompo dho,chifuwe south,2009-07-08
kabompo dho,chikonkwelo,2009-07-03
kabompo dho,dyambombola,2009-07-03
kabompo dho,kabompo,2009-07-03
kabompo dho,kabulamema,2009-07-03
kabompo dho,kalunga,2009-07-03
kabompo dho,kasamba,2009-07-03
kabompo dho,kashinakaji,2009-07-03
kabompo dho,kayombo,2009-07-03
kabompo dho,luansongwa,2009-07-03
kabompo dho,loloma,2009-07-10
kabompo dho,mayawu,2009-07-09
kabompo dho,mumbeji,2009-07-02
kabompo dho,ndungo,2009-07-03
kabompo dho,nkulwashi,2009-07-09
kabompo dho,saint kalemba,2009-07-03
kabompo dho,chifuwe south,2009-08-08
kabompo dho,chikonkwelo,2009-08-03
kabompo dho,dyambombola,2009-08-03
kabompo dho,kabompo,2009-08-03
kabompo dho,kabulamema,2009-08-03
kabompo dho,kalunga,2009-08-03
kabompo dho,kasamba,2009-08-03
kabompo dho,kashinakaji,2009-08-03
kabompo dho,kayombo,2009-08-03
kabompo dho,luansongwa,2009-08-03
kabompo dho,loloma,2009-08-10
kabompo dho,mayawu,2009-08-09
kabompo dho,mumbeji,2009-08-02
kabompo dho,ndungo,2009-08-03
kabompo dho,nkulwashi,2009-08-09
kabompo dho,saint kalemba,2009-08-03
kabompo dho,chifuwe south,2009-09-04
kabompo dho,chikonkwelo,2009-09-03
kabompo dho,dyambombola,2009-09-07
kabompo dho,kabompo,2009-09-09
kabompo dho,kabulamema,2009-09-09
kabompo dho,kalunga,2009-09-09
kabompo dho,kasamba,2009-09-04
kabompo dho,kashinakaji,2009-09-03
kabompo dho,kayombo,2009-09-07
kabompo dho,luansongwa,2009-09-08
kabompo dho,loloma,2009-09-08
kabompo dho,mayawu,2009-09-09
kabompo dho,mumbeji,2009-09-03
kabompo dho,ndungo,2009-09-07
kabompo dho,nkulwashi,2009-09-04
kabompo dho,saint kalemba,2009-09-07
kabompo dho,chifuwe south,2009-10-07
kabompo dho,chikonkwelo,2009-10-05
kabompo dho,dyambombola,2009-10-12
kabompo dho,kabompo,2009-10-05
kabompo dho,kabulamema,2009-10-06
kabompo dho,kalunga,2009-10-09
kabompo dho,kasamba,2009-10-05
kabompo dho,kashinakaji,2009-10-07
kabompo dho,kayombo,2009-10-05
kabompo dho,luansongwa,2009-10-05
kabompo dho,loloma,2009-10-05
