district,facility,start_date,end_date,lead_time
kasama dho,nkolemfumu,2010-01-06,2010-01-24,18
kasama dho,nkolemfumu,2010-02-03,2010-03-28,53
kasama dho,nkolemfumu,2010-03-03,2010-03-28,25
kasama dho,nkolemfumu,2010-04-08,2010-04-26,18
kasama dho,chanda mukulu,2009-06-03,2009-06-30,27
kasama dho,chanda mukulu,2009-07-10,2009-07-27,17
kasama dho,chanda mukulu,2009-08-06,2009-09-03,28
kasama dho,chanda mukulu,2009-09-02,2009-09-03,1
kasama dho,chanda mukulu,2009-10-07,2009-10-31,24
kasama dho,chanda mukulu,2009-11-04,2009-12-01,27
kasama dho,chanda mukulu,2009-12-02,2009-12-30,28
kasama dho,chanda mukulu,2010-01-06,2010-01-24,18
kasama dho,chanda mukulu,2010-02-03,2010-03-28,53
kasama dho,chanda mukulu,2010-03-03,2010-03-28,25
kasama dho,chanda mukulu,2010-04-08,2010-04-16,8
kasama dho,mulanshi,2009-06-03,2009-07-01,28
kasama dho,mulanshi,2009-07-10,2009-07-28,18
kasama dho,mulanshi,2009-08-06,2009-09-02,27
kasama dho,mulanshi,2009-09-02,2009-09-03,1
kasama dho,mulanshi,2009-10-07,2009-10-31,24
kasama dho,mulanshi,2009-11-04,2009-12-02,28
kasama dho,mulanshi,2009-12-02,2010-01-04,33
kasama dho,mulanshi,2010-01-06,2010-01-25,19
kasama dho,mulanshi,2010-02-03,2010-02-19,16
kasama dho,mulanshi,2010-03-03,2010-03-26,23
kasama dho,mulanshi,2010-04-08,2010-04-26,18
kasama dho,mumbi mukulu,2009-06-03,2009-08-22,80
kasama dho,mumbi mukulu,2009-07-10,2009-08-22,43
kasama dho,mumbi mukulu,2009-08-06,2009-08-22,16
kasama dho,mumbi mukulu,2009-09-02,2009-09-28,26
kasama dho,mumbi mukulu,2009-10-07,2009-10-29,22
kasama dho,mumbi mukulu,2009-11-04,2009-12-05,31
kasama dho,mumbi mukulu,2009-12-02,2009-12-05,3
kasama dho,mumbi mukulu,2010-01-06,2010-01-28,22
kasama dho,mumbi mukulu,2010-02-03,2010-03-29,54
kasama dho,mumbi mukulu,2010-03-03,2010-03-29,26
kasama dho,mumbi mukulu,2010-04-08,2010-04-28,20
kasama dho,mulobola,2009-06-03,2009-06-27,24
kasama dho,mulobola,2009-07-10,2009-08-22,43
kasama dho,mulobola,2009-08-06,2009-08-22,16
kasama dho,mulobola,2009-09-02,2009-09-28,26
kasama dho,mulobola,2009-10-07,2009-10-29,22
kasama dho,mulobola,2009-11-04,2009-12-05,31
kasama dho,mulobola,2009-12-02,2009-12-05,3
kasama dho,mulobola,2010-01-06,2010-01-28,22
kasama dho,mulobola,2010-02-03,2010-03-29,54
kasama dho,mulobola,2010-03-03,2010-03-29,26
kasama dho,mulobola,2010-04-08,2010-04-28,20
kasama dho,mbusa,2009-06-03,2009-06-26,23
kasama dho,mbusa,2009-07-10,2009-08-22,43
kasama dho,mbusa,2009-08-06,2009-08-22,16
kasama dho,mbusa,2009-09-02,2009-09-28,26
kasama dho,mbusa,2009-10-07,2009-10-29,22
kasama dho,mbusa,2009-11-04,2009-12-05,31
kasama dho,mbusa,2009-12-02,2009-12-05,3
kasama dho,mbusa,2010-01-06,2010-01-28,22
kasama dho,mbusa,2010-02-03,2010-03-29,54
kasama dho,mbusa,2010-03-03,2010-03-29,26
kasama dho,mbusa,2010-04-08,2010-04-28,20
kasama dho,kateshi,2009-06-03,2009-06-25,22
kasama dho,kateshi,2009-07-10,2009-07-30,20
kasama dho,kateshi,2009-08-06,2009-09-30,55
kasama dho,kateshi,2009-09-02,2009-09-30,28
kasama dho,kateshi,2009-10-07,2009-10-23,16
kasama dho,kateshi,2009-11-04,2009-11-24,20
kasama dho,kateshi,2009-12-02,2009-12-28,26
kasama dho,kateshi,2010-01-06,2010-02-03,28
kasama dho,kateshi,2010-02-03,2010-02-25,22
kasama dho,kateshi,2010-03-03,2010-03-24,21
kasama dho,kateshi,2010-04-08,2010-04-23,15
kasama dho,milima,2009-06-03,2009-06-25,22
kasama dho,milima,2009-07-10,2009-07-30,20
kasama dho,milima,2009-08-06,2009-09-01,26
kasama dho,milima,2009-09-02,2009-09-30,28
kasama dho,milima,2009-10-07,2009-10-23,16
kasama dho,milima,2009-11-04,2009-11-24,20
kasama dho,milima,2009-12-02,2009-12-28,26
kasama dho,milima,2010-01-06,2010-02-03,28
kasama dho,milima,2010-02-03,2010-02-25,22
kasama dho,milima,2010-03-03,2010-03-24,21
kasama dho,milima,2010-04-08,2010-04-23,15
kasama dho,misamfu,2009-06-03,2009-06-25,22
kasama dho,misamfu,2009-07-10,2009-07-30,20
kasama dho,misamfu,2009-08-06,2009-09-01,26
kasama dho,misamfu,2009-09-02,2009-09-30,28
kasama dho,misamfu,2009-10-07,2009-10-23,16
kasama dho,misamfu,2009-11-04,2009-11-24,20
kasama dho,misamfu,2009-12-02,2009-12-28,26
kasama dho,misamfu,2010-01-06,2010-02-03,28
kasama dho,misamfu,2010-02-03,2010-02-25,22
kasama dho,misamfu,2010-03-03,2010-03-24,21
kasama dho,misamfu,2010-04-08,2010-04-24,16
kasama dho,chilubula,2009-06-03,2009-06-15,12
kasama dho,chilubula,2009-07-10,2009-07-22,12
kasama dho,chilubula,2009-08-06,2009-08-20,14
kasama dho,chilubula,2009-09-02,2009-09-23,21
kasama dho,chilubula,2009-10-07,2009-10-27,20
kasama dho,chilubula,2009-11-04,2009-11-26,22
kasama dho,chilubula,2009-12-02,2010-01-05,34
kasama dho,chilubula,2010-01-06,2010-02-02,27
kasama dho,chilubula,2010-02-03,2010-02-22,19
kasama dho,chilubula,2010-03-03,2010-03-23,20
kasama dho,chilubula,2010-04-08,2010-04-30,22
kasama dho,chilongoshi,2009-06-03,2009-06-16,13
kasama dho,chilongoshi,2009-07-10,2009-07-23,13
kasama dho,chilongoshi,2009-08-06,2009-08-20,14
kasama dho,chilongoshi,2009-09-02,2009-09-23,21
kasama dho,chilongoshi,2009-10-07,2009-10-27,20
kasama dho,chilongoshi,2009-11-04,2009-11-26,22
kasama dho,chilongoshi,2009-12-02,2010-01-05,34
kasama dho,chilongoshi,2010-01-06,2010-02-02,27
kasama dho,chilongoshi,2010-02-03,2010-02-22,19
kasama dho,chilongoshi,2010-03-03,2010-03-23,20
kasama dho,chilongoshi,2010-04-08,2010-04-30,22
kasama dho,misengo,2009-06-03,2009-06-16,13
kasama dho,misengo,2009-07-10,2009-07-23,13
kasama dho,misengo,2009-08-06,2009-08-20,14
kasama dho,misengo,2009-09-02,2009-09-23,21
kasama dho,misengo,2009-10-07,2009-10-27,20
kasama dho,misengo,2009-11-04,2009-11-26,22
kasama dho,misengo,2009-12-02,2010-01-05,34
kasama dho,misengo,2010-01-06,2010-02-02,27
kasama dho,misengo,2010-02-03,2010-02-22,19
kasama dho,misengo,2010-03-03,2010-03-23,20
kasama dho,misengo,2010-04-08,2010-04-30,22
kasama dho,zns chishimba,2009-06-03,2009-06-16,13
kasama dho,zns chishimba,2009-07-10,2009-07-23,13
kasama dho,zns chishimba,2009-08-06,2009-08-20,14
kasama dho,zns chishimba,2009-09-02,2009-09-23,21
kasama dho,zns chishimba,2009-10-07,2009-10-27,20
kasama dho,zns chishimba,2009-11-04,2009-11-26,22
kasama dho,zns chishimba,2009-12-02,2010-01-05,34
kasama dho,zns chishimba,2010-01-06,2010-02-02,27
kasama dho,zns chishimba,2010-02-03,2010-02-22,19
kasama dho,zns chishimba,2010-03-03,2010-03-23,20
kasama dho,zns chishimba,2010-04-08,2010-04-30,22
kasama dho,chiombo,2009-06-03,2009-06-23,20
kasama dho,chiombo,2009-07-10,2009-07-31,21
kasama dho,chiombo,2009-08-06,2009-08-31,25
kasama dho,chiombo,2009-09-02,2009-09-24,22
kasama dho,chiombo,2009-10-07,2009-10-28,21
kasama dho,chiombo,2009-11-04,2009-11-27,23
kasama dho,chiombo,2009-12-02,2009-12-31,29
kasama dho,chiombo,2010-01-06,2010-01-27,21
kasama dho,chiombo,2010-02-03,2010-02-23,20
kasama dho,chiombo,2010-03-03,2010-03-25,22
kasama dho,chiombo,2010-04-08,2010-04-29,21
kasama dho,kasakula,2009-06-03,2009-06-23,20
kasama dho,kasakula,2009-07-10,2009-07-31,21
kasama dho,kasakula,2009-08-06,2009-08-31,25
kasama dho,kasakula,2009-09-02,2009-09-24,22
kasama dho,kasakula,2009-10-07,2009-10-28,21
kasama dho,kasakula,2009-11-04,2009-11-27,23
kasama dho,kasakula,2009-12-02,2009-12-31,29
kasama dho,kasakula,2010-01-06,2010-01-27,21
kasama dho,kasakula,2010-02-03,2010-02-23,20
kasama dho,kasakula,2010-03-03,2010-03-25,22
kasama dho,kasakula,2010-04-08,2010-04-29,21
kasama dho,munkonge,2009-06-03,2009-06-23,20
kasama dho,munkonge,2009-07-10,2009-07-24,14
kasama dho,munkonge,2009-08-06,2009-08-31,25
kasama dho,munkonge,2009-09-02,2009-09-24,22
kasama dho,munkonge,2009-10-07,2009-10-28,21
kasama dho,munkonge,2009-11-04,2009-11-27,23
kasama dho,munkonge,2009-12-02,2009-12-31,29
kasama dho,munkonge,2010-01-06,2010-02-04,29
kasama dho,munkonge,2010-02-03,2010-02-04,1
kasama dho,munkonge,2010-03-03,2010-03-25,22
kasama dho,munkonge,2010-04-08,2010-04-29,21
kasama dho,lubushi,2009-06-03,2009-06-23,20
kasama dho,lubushi,2009-07-10,2009-07-24,14
kasama dho,lubushi,2009-08-06,2009-08-31,25
kasama dho,lubushi,2009-09-02,2009-09-24,22
kasama dho,lubushi,2009-10-07,2009-10-28,21
kasama dho,lubushi,2009-11-04,2009-11-27,23
kasama dho,lubushi,2009-12-02,2009-12-31,29
kasama dho,lubushi,2010-01-06,2010-02-04,29
kasama dho,lubushi,2010-02-03,2010-02-04,1
kasama dho,lubushi,2010-03-03,2010-03-25,22
kasama dho,lubushi,2010-04-08,2010-04-29,21
kasama dho,army,2009-06-03,2009-07-21,48
kasama dho,army,2009-07-10,2009-07-21,11
kasama dho,army,2009-08-06,2009-08-24,18
kasama dho,army,2009-09-02,2009-10-20,48
kasama dho,army,2009-10-07,2009-10-20,13
kasama dho,army,2009-11-04,2009-11-23,19
kasama dho,army,2009-12-02,2009-12-26,24
kasama dho,army,2010-01-06,2010-01-18,12
kasama dho,army,2010-02-03,2010-04-21,77
kasama dho,army,2010-03-03,2010-04-21,49
kasama dho,army,2010-04-08,2010-04-21,13
kasama dho,kasama urban,2009-06-03,2009-06-29,26
kasama dho,kasama urban,2009-07-10,2009-07-22,12
kasama dho,kasama urban,2009-08-06,2009-08-24,18
kasama dho,kasama urban,2009-09-02,2009-10-20,48
kasama dho,kasama urban,2009-10-07,2009-10-20,13
kasama dho,kasama urban,2009-11-04,2009-11-23,19
kasama dho,kasama urban,2009-12-02,2009-12-26,24
kasama dho,kasama urban,2010-01-06,2010-01-18,12
kasama dho,kasama urban,2010-02-03,2010-02-17,14
kasama dho,kasama urban,2010-03-03,2010-03-17,14
kasama dho,kasama urban,2010-04-08,2010-04-20,12
kasama dho,location,2009-06-03,2009-06-17,14
kasama dho,location,2009-07-10,2009-07-21,11
kasama dho,location,2009-08-06,2009-08-24,18
kasama dho,location,2009-09-02,2009-10-20,48
kasama dho,location,2009-10-07,2009-10-20,13
kasama dho,location,2009-11-04,2009-11-23,19
kasama dho,location,2009-12-02,2009-12-26,24
kasama dho,location,2010-01-06,2010-01-29,23
kasama dho,location,2010-02-03,2010-02-16,13
kasama dho,location,2010-03-03,2010-03-18,15
kasama dho,location,2010-04-08,2010-04-19,11
kasama dho,mulenga,2009-06-03,2009-06-24,21
kasama dho,mulenga,2009-07-10,2009-07-29,19
kasama dho,mulenga,2009-08-06,2009-09-04,29
kasama dho,mulenga,2009-09-02,2009-09-04,2
kasama dho,mulenga,2009-10-07,2009-10-20,13
kasama dho,mulenga,2009-11-04,2009-12-04,30
kasama dho,mulenga,2009-12-02,2009-12-04,2
kasama dho,mulenga,2010-01-06,2010-01-29,23
kasama dho,mulenga,2010-02-03,2010-02-18,15
kasama dho,mulenga,2010-03-03,2010-03-19,16
kasama dho,mulenga,2010-04-08,2010-04-21,13
kasama dho,tazara,2009-06-03,2009-06-30,27
kasama dho,tazara,2009-07-10,2009-07-29,19
kasama dho,tazara,2009-08-06,2009-09-02,27
kasama dho,tazara,2009-09-02,2009-10-01,29
kasama dho,tazara,2009-10-07,2009-10-31,24
kasama dho,tazara,2009-11-04,2009-12-03,29
kasama dho,tazara,2009-12-02,2009-12-03,1
kasama dho,tazara,2010-01-06,2010-01-19,13
kasama dho,tazara,2010-02-03,2010-02-19,16
kasama dho,tazara,2010-03-03,2010-03-26,23
kasama dho,tazara,2010-04-08,2010-04-26,18
kasama dho,chisanga,2009-06-03,2009-06-29,26
kasama dho,chisanga,2009-07-10,2009-07-29,19
kasama dho,chisanga,2009-08-06,2009-09-04,29
kasama dho,chisanga,2009-09-02,2009-09-04,2
kasama dho,chisanga,2009-10-07,2009-10-31,24
kasama dho,chisanga,2009-11-04,2009-12-03,29
kasama dho,chisanga,2009-12-02,2009-12-03,1
kasama dho,chisanga,2010-01-06,2010-01-19,13
kasama dho,chisanga,2010-02-03,2010-02-16,13
kasama dho,chisanga,2010-03-03,2010-03-18,15
kasama dho,chisanga,2010-04-08,2010-04-19,11
kasama dho,college,2009-06-03,2009-06-24,21
kasama dho,college,2009-07-10,2009-07-29,19
kasama dho,college,2009-08-06,2009-09-04,29
kasama dho,college,2009-09-02,2009-09-04,2
kasama dho,college,2009-10-07,2009-10-20,13
kasama dho,college,2009-11-04,2009-12-04,30
kasama dho,college,2009-12-02,2009-12-04,2
kasama dho,college,2010-01-06,2010-01-19,13
kasama dho,college,2010-02-03,2010-02-18,15
kasama dho,college,2010-03-03,2010-03-19,16
kasama dho,college,2010-04-08,2010-04-21,13
kasama dho,lukashya,2009-07-10,2009-07-30,20
kasama dho,lukashya,2009-08-06,2009-09-04,29
kasama dho,lukashya,2009-09-02,2009-09-04,2
kasama dho,lukashya,2009-10-07,2009-10-23,16
kasama dho,lukashya,2009-11-04,2009-12-04,30
kasama dho,lukashya,2009-12-02,2009-12-04,2
kasama dho,lukashya,2010-01-06,2010-01-29,23
kasama dho,lukashya,2010-02-03,2010-02-17,14
kasama dho,lukashya,2010-03-03,2010-03-17,14
kasama dho,lukashya,2010-04-08,2010-04-20,12
kasama dho,mumbi mfumu,2009-07-10,2009-07-28,18
kasama dho,mumbi mfumu,2009-08-06,2009-09-02,27
kasama dho,mumbi mfumu,2009-09-02,2009-09-03,1
kasama dho,mumbi mfumu,2009-10-07,2009-10-31,24
kasama dho,mumbi mfumu,2009-11-04,2009-12-02,28
kasama dho,mumbi mfumu,2009-12-02,2010-01-04,33
kasama dho,mumbi mfumu,2010-01-06,2010-01-25,19
kasama dho,mumbi mfumu,2010-02-03,2010-03-26,51
kasama dho,mumbi mfumu,2010-03-03,2010-03-26,23
kasama dho,mumbi mfumu,2010-04-08,2010-04-26,18
mkushi dho,fiwila mission,2009-05-05,2009-05-28,23
mkushi dho,fiwila mission,2009-06-02,2009-06-15,13
mkushi dho,fiwila mission,2009-07-09,2009-07-13,4
mkushi dho,fiwila mission,2009-08-05,2009-08-20,15
mkushi dho,fiwila mission,2009-09-01,2009-09-07,6
mkushi dho,fiwila mission,2009-10-06,2009-10-20,14
mkushi dho,fiwila mission,2009-11-03,2009-11-06,3
mkushi dho,fiwila mission,2009-12-01,2009-12-03,2
mkushi dho,fiwila mission,2010-01-07,2010-02-22,46
mkushi dho,fiwila mission,2010-02-04,2010-02-22,18
mkushi dho,fiwila mission,2010-03-04,2010-03-21,17
mkushi dho,fiwila mission,2010-04-09,2010-04-16,7
mkushi dho,fiwila mission,2009-10-07,2009-10-20,13
mkushi dho,fiwila mission,2009-12-02,2009-12-03,1
mkushi dho,chibefwe,2009-05-05,2009-05-14,9
mkushi dho,chibefwe,2009-06-02,2009-06-08,6
mkushi dho,chibefwe,2009-07-09,2009-07-30,21
mkushi dho,chibefwe,2009-08-05,2009-08-12,7
mkushi dho,chibefwe,2009-09-01,2009-09-02,1
mkushi dho,chibefwe,2009-10-06,2009-10-10,4
mkushi dho,chibefwe,2009-11-03,2009-11-09,6
mkushi dho,chibefwe,2009-12-01,2009-12-04,3
mkushi dho,chibefwe,2010-01-07,2010-01-18,11
mkushi dho,chibefwe,2010-02-04,2010-02-22,18
mkushi dho,chibefwe,2010-03-04,2010-04-09,36
mkushi dho,chibefwe,2010-04-09,2010-04-20,11
mkushi dho,chibefwe,2009-10-07,2009-10-10,3
mkushi dho,chibefwe,2009-12-02,2009-12-04,2
mkushi dho,kaundula,2009-06-02,2009-06-30,28
mkushi dho,kaundula,2009-07-09,2009-07-17,8
mkushi dho,kaundula,2009-08-05,2009-08-11,6
mkushi dho,kaundula,2009-09-01,2009-09-24,23
mkushi dho,kaundula,2009-10-06,2009-10-20,14
mkushi dho,kaundula,2009-11-03,2009-11-06,3
mkushi dho,kaundula,2009-12-01,2009-12-03,2
mkushi dho,kaundula,2010-01-07,2010-02-22,46
mkushi dho,kaundula,2010-02-04,2010-02-22,18
mkushi dho,kaundula,2010-03-04,2010-03-15,11
mkushi dho,kaundula,2010-04-09,2010-04-26,17
mkushi dho,kaundula,2009-10-07,2009-10-20,13
mkushi dho,kaundula,2009-12-02,2009-12-03,1
mkushi dho,chikupili,2009-06-02,2009-06-08,6
mkushi dho,chikupili,2009-07-09,2009-07-13,4
mkushi dho,chikupili,2009-08-05,2009-08-09,4
mkushi dho,chikupili,2009-09-01,2009-09-02,1
mkushi dho,chikupili,2009-10-06,2009-10-21,15
mkushi dho,chikupili,2009-11-03,2009-12-03,30
mkushi dho,chikupili,2009-12-01,2009-12-03,2
mkushi dho,chikupili,2010-01-07,2010-01-20,13
mkushi dho,chikupili,2010-02-04,2010-02-15,11
mkushi dho,chikupili,2010-03-04,2010-03-10,6
mkushi dho,chikupili,2010-04-09,2010-04-15,6
mkushi dho,chikupili,2009-10-07,2009-10-21,14
mkushi dho,chikupili,2009-12-02,2009-12-03,1
mkushi dho,miloso,2009-06-02,2009-06-23,21
mkushi dho,miloso,2009-07-09,2009-07-12,3
mkushi dho,miloso,2009-08-05,2009-08-10,5
mkushi dho,miloso,2009-09-01,2009-09-29,28
mkushi dho,miloso,2009-10-06,2009-10-20,14
mkushi dho,miloso,2009-11-03,2009-12-04,31
mkushi dho,miloso,2009-12-01,2009-12-04,3
mkushi dho,miloso,2010-01-07,2010-02-08,32
mkushi dho,miloso,2010-02-04,2010-02-08,4
mkushi dho,miloso,2010-03-04,2010-04-06,33
mkushi dho,miloso,2010-04-09,2010-04-12,3
mkushi dho,miloso,2009-10-07,2009-10-20,13
mkushi dho,miloso,2009-12-02,2009-12-04,2
mkushi dho,mkushi coppermine,2009-06-02,2009-06-22,20
mkushi dho,mkushi coppermine,2009-07-09,2009-07-16,7
mkushi dho,mkushi coppermine,2009-08-05,2009-08-08,3
mkushi dho,mkushi coppermine,2009-09-01,2009-09-21,20
mkushi dho,mkushi coppermine,2009-10-06,2009-10-22,16
mkushi dho,mkushi coppermine,2009-11-03,2009-11-10,7
mkushi dho,mkushi coppermine,2009-12-01,2009-12-11,10
mkushi dho,mkushi coppermine,2010-01-07,2010-02-12,36
mkushi dho,mkushi coppermine,2010-02-04,2010-02-12,8
mkushi dho,mkushi coppermine,2010-03-04,2010-03-15,11
mkushi dho,mkushi coppermine,2010-04-09,2010-04-19,10
mkushi dho,mkushi coppermine,2009-10-07,2009-10-22,15
mkushi dho,mkushi coppermine,2009-12-02,2009-12-11,9
mkushi dho,mboroma,2009-06-02,2009-06-11,9
mkushi dho,mboroma,2009-07-09,2009-09-03,56
mkushi dho,mboroma,2009-08-05,2009-09-03,29
mkushi dho,mboroma,2009-09-01,2009-09-03,2
mkushi dho,mboroma,2009-10-06,2009-10-31,25
mkushi dho,mboroma,2009-11-03,2009-12-05,32
mkushi dho,mboroma,2009-12-01,2009-12-05,4
mkushi dho,mboroma,2010-01-07,2010-02-23,47
mkushi dho,mboroma,2010-02-04,2010-02-23,19
mkushi dho,mboroma,2010-03-04,2010-04-22,49
mkushi dho,mboroma,2010-04-09,2010-04-22,13
mkushi dho,mboroma,2009-10-07,2009-10-31,24
mkushi dho,mboroma,2009-12-02,2009-12-05,3
mkushi dho,nkumbi,2009-06-02,2009-06-22,20
mkushi dho,nkumbi,2009-07-09,2009-07-20,11
mkushi dho,nkumbi,2009-08-05,2009-08-08,3
mkushi dho,nkumbi,2009-09-01,2009-10-07,36
mkushi dho,nkumbi,2009-10-06,2009-10-07,1
mkushi dho,nkumbi,2009-11-03,2009-11-06,3
mkushi dho,nkumbi,2009-12-01,2009-12-05,4
mkushi dho,nkumbi,2010-01-07,2010-01-12,5
mkushi dho,nkumbi,2010-02-04,2010-03-13,37
mkushi dho,nkumbi,2010-03-04,2010-03-13,9
mkushi dho,nkumbi,2010-04-09,2010-04-20,11
mkushi dho,nkumbi,2009-10-07,2009-10-14,7
mkushi dho,nkumbi,2009-12-02,2009-12-05,3
mkushi dho,luanshimba,2009-06-02,2009-06-23,21
mkushi dho,luanshimba,2009-07-09,2009-07-12,3
mkushi dho,luanshimba,2009-08-05,2009-08-07,2
mkushi dho,luanshimba,2009-09-01,2009-10-16,45
mkushi dho,luanshimba,2009-10-06,2009-10-16,10
mkushi dho,luanshimba,2009-11-03,2009-11-11,8
mkushi dho,luanshimba,2009-12-01,2009-12-07,6
mkushi dho,luanshimba,2010-01-07,2010-02-08,32
mkushi dho,luanshimba,2010-02-04,2010-02-08,4
mkushi dho,luanshimba,2010-03-04,2010-03-09,5
mkushi dho,luanshimba,2010-04-09,2010-04-16,7
mkushi dho,luanshimba,2009-10-07,2009-10-16,9
mkushi dho,luanshimba,2009-12-02,2009-12-07,5
mkushi dho,chingombe,2009-06-02,2009-09-03,93
mkushi dho,chingombe,2009-07-09,2009-09-03,56
mkushi dho,chingombe,2009-08-05,2009-09-03,29
mkushi dho,chingombe,2009-09-01,2009-09-03,2
mkushi dho,chingombe,2009-10-06,2009-11-24,49
mkushi dho,chingombe,2009-11-03,2009-11-24,21
mkushi dho,chingombe,2009-12-01,2009-12-08,7
mkushi dho,chingombe,2009-10-07,2009-11-24,48
mkushi dho,chingombe,2009-12-02,2009-12-08,6
mkushi dho,nshinso,2009-06-02,2009-06-22,20
mkushi dho,nshinso,2009-07-09,2009-07-12,3
mkushi dho,nshinso,2009-08-05,2009-08-06,1
mkushi dho,nshinso,2009-09-01,2009-09-08,7
mkushi dho,nshinso,2009-10-06,2009-10-16,10
mkushi dho,nshinso,2009-11-03,2009-11-18,15
mkushi dho,nshinso,2009-12-01,2009-12-04,3
mkushi dho,nshinso,2010-01-07,2010-02-04,28
mkushi dho,nshinso,2010-02-04,2010-02-09,5
mkushi dho,nshinso,2010-03-04,2010-04-09,36
mkushi dho,nshinso,2009-10-07,2009-10-16,9
mkushi dho,nshinso,2009-12-02,2009-12-04,2
mkushi dho,chalata,2009-06-02,2009-06-23,21
mkushi dho,chalata,2009-07-09,2009-07-12,3
mkushi dho,chalata,2009-08-05,2009-08-06,1
mkushi dho,chalata,2009-09-01,2009-09-02,1
mkushi dho,chalata,2009-10-06,2009-10-09,3
mkushi dho,chalata,2009-11-03,2009-11-16,13
mkushi dho,chalata,2009-12-01,2009-12-04,3
mkushi dho,chalata,2010-01-07,2010-01-19,12
mkushi dho,chalata,2010-02-04,2010-02-08,4
mkushi dho,chalata,2010-03-04,2010-03-09,5
mkushi dho,chalata,2010-04-09,2010-04-16,7
mkushi dho,chalata,2009-10-07,2009-10-09,2
mkushi dho,chalata,2009-12-02,2009-12-04,2
mkushi dho,munsakamba,2009-06-02,2009-06-24,22
mkushi dho,munsakamba,2009-07-09,2009-07-20,11
mkushi dho,munsakamba,2009-08-05,2009-08-07,2
mkushi dho,munsakamba,2009-09-01,2009-09-17,16
mkushi dho,munsakamba,2009-10-06,2009-10-10,4
mkushi dho,munsakamba,2009-11-03,2009-11-11,8
mkushi dho,munsakamba,2009-12-01,2009-12-15,14
mkushi dho,munsakamba,2010-01-07,2010-01-13,6
mkushi dho,munsakamba,2010-02-04,2010-02-12,8
mkushi dho,munsakamba,2010-03-04,2010-03-05,1
mkushi dho,munsakamba,2010-04-09,2010-04-13,4
mkushi dho,munsakamba,2009-10-07,2009-10-10,3
mkushi dho,munsakamba,2009-12-02,2009-12-15,13
mkushi dho,twatasha,2009-06-02,2009-06-29,27
mkushi dho,twatasha,2009-07-09,2009-07-12,3
mkushi dho,twatasha,2009-08-05,2009-08-09,4
mkushi dho,twatasha,2009-09-01,2009-09-18,17
mkushi dho,twatasha,2009-10-06,2009-10-20,14
mkushi dho,twatasha,2009-11-03,2009-11-25,22
mkushi dho,twatasha,2009-12-01,2009-12-10,9
mkushi dho,twatasha,2010-01-07,2010-02-08,32
mkushi dho,twatasha,2010-02-04,2010-02-08,4
mkushi dho,twatasha,2010-03-04,2010-03-13,9
mkushi dho,twatasha,2010-04-09,2010-04-16,7
mkushi dho,twatasha,2009-10-07,2009-10-20,13
mkushi dho,twatasha,2009-12-02,2009-12-10,8
mkushi dho,masansa,2009-06-02,2009-06-09,7
mkushi dho,masansa,2009-07-09,2009-07-13,4
mkushi dho,masansa,2009-08-05,2009-08-09,4
mkushi dho,masansa,2009-09-01,2009-09-18,17
mkushi dho,masansa,2009-10-06,2009-10-22,16
mkushi dho,masansa,2009-11-03,2009-11-10,7
mkushi dho,masansa,2009-12-01,2009-12-03,2
mkushi dho,masansa,2010-01-07,2010-02-10,34
mkushi dho,masansa,2010-02-04,2010-02-10,6
mkushi dho,masansa,2010-03-04,2010-03-10,6
mkushi dho,masansa,2010-04-09,2010-04-25,16
mkushi dho,masansa,2009-10-07,2009-10-22,15
mkushi dho,masansa,2009-12-02,2009-12-03,1
mkushi dho,mkushi district,2009-06-02,2009-11-10,161
mkushi dho,mkushi district,2009-07-09,2009-11-10,124
mkushi dho,mkushi district,2009-08-05,2009-11-10,97
mkushi dho,mkushi district,2009-09-01,2009-11-10,70
mkushi dho,mkushi district,2009-10-06,2009-11-10,35
mkushi dho,mkushi district,2009-11-03,2009-11-10,7
mkushi dho,mkushi district,2009-12-01,2010-01-13,43
mkushi dho,mkushi district,2010-01-07,2010-01-13,6
mkushi dho,mkushi district,2010-02-04,2010-02-05,1
mkushi dho,mkushi district,2010-03-04,2010-04-09,36
mkushi dho,mkushi district,2009-10-07,2009-11-10,34
mkushi dho,mkushi district,2009-12-02,2010-01-13,42
mkushi dho,mboshya,2009-06-02,2009-06-09,7
mkushi dho,mboshya,2009-07-09,2009-08-07,29
mkushi dho,mboshya,2009-08-05,2009-08-07,2
mkushi dho,mboshya,2009-09-01,2009-09-04,3
mkushi dho,mboshya,2009-10-06,2009-11-16,41
mkushi dho,mboshya,2009-11-03,2009-11-16,13
mkushi dho,mboshya,2009-12-01,2009-12-08,7
mkushi dho,mboshya,2009-10-07,2009-11-16,40
mkushi dho,mboshya,2009-12-02,2009-12-08,6
mkushi dho,musofu,2009-07-09,2009-07-20,11
mkushi dho,musofu,2009-08-05,2009-08-08,3
mkushi dho,musofu,2009-09-01,2009-09-16,15
mkushi dho,musofu,2009-10-06,2009-10-14,8
mkushi dho,musofu,2009-11-03,2009-11-30,27
mkushi dho,musofu,2009-12-01,2009-12-10,9
mkushi dho,musofu,2010-01-07,2010-01-11,4
mkushi dho,musofu,2010-02-04,2010-02-08,4
mkushi dho,musofu,2010-03-04,2010-03-09,5
mkushi dho,musofu,2009-10-07,2009-10-14,7
mkushi dho,musofu,2009-12-02,2009-12-10,8
mkushi dho,chimika,2009-07-09,2009-09-09,62
mkushi dho,chimika,2009-08-05,2009-09-09,35
mkushi dho,chimika,2009-09-01,2009-09-09,8
